,edge,edge_text,variables,variables_text
0,(('ll/Mm/en blow/Pd.so.-i-----/en) i/Ci/en you/Ci/en),I'll blow you,"[{'PRED': [[""'ll/Mm/en""], ['blow/Pd.so.-i-----/en']], 'SOURCE': ['i/Ci/en'], 'TARGET': ['you/Ci/en']}]","[{'PRED': ""'ll blow"", 'SOURCE': 'I', 'TARGET': 'you'}]"
1,(('ll/Mm/en kill/Pd.so.-i-----/en) i/Ci/en you/Ci/en),I'll kill you,"[{'PRED': [[""'ll/Mm/en""], ['kill/Pd.so.-i-----/en']], 'SOURCE': ['i/Ci/en'], 'TARGET': ['you/Ci/en']}]","[{'PRED': ""'ll kill"", 'SOURCE': 'I', 'TARGET': 'you'}]"
2,(((so/M/en much/M/en) hate/Pd.?so.|f-----/en) (with/Br.ma/en (japanese/Ma/en woman/Cc.s/en) (in/Br.ma/en megaphone/Cc.s/en osaka/Cp.s/en)) i/Ci/en koreans/Cp.p/en),"Japanese woman with megaphone in Osaka: ""I hate Koreans so much","[{'PRED': [[['so/M/en'], ['much/M/en']], ['hate/Pd.?so.|f-----/en']], 'SOURCE': ['i/Ci/en'], 'TARGET': ['koreans/Cp.p/en']}]","[{'PRED': 'hate so much', 'SOURCE': 'I', 'TARGET': 'Koreans'}]"
3,((again/M/en (to/Mi/en beat/Pd.so.-i-----/en)) india/Cp.s/en china/Cp.s/en),India to beat China again,"[{'PRED': [['again/M/en'], [['to/Mi/en'], ['beat/Pd.so.-i-----/en']]], 'SOURCE': ['india/Cp.s/en'], 'TARGET': ['china/Cp.s/en']}]","[{'PRED': 'to beat again', 'SOURCE': 'India', 'TARGET': 'China'}]"
4,((again/M/en blames/Pd.so.|f--3s-/en) russia/Cp.s/en ukraine/Cp.s/en),Russia Blames Ukraine (Again,"[{'PRED': [['again/M/en'], ['blames/Pd.so.|f--3s-/en']], 'SOURCE': ['russia/Cp.s/en'], 'TARGET': ['ukraine/Cp.s/en']}]","[{'PRED': 'Blames Again', 'SOURCE': 'Russia', 'TARGET': 'Ukraine'}]"
5,((alone/M/en (will/Mm/en (not/Mn/en attack/Pd.so.-i-----/en))) france/Cp.s/en syria/Cp.s/en),France will not attack Syria alone,"[{'PRED': [['alone/M/en'], [['will/Mm/en'], [['not/Mn/en'], ['attack/Pd.so.-i-----/en']]]], 'SOURCE': ['france/Cp.s/en'], 'TARGET': ['syria/Cp.s/en']}]","[{'PRED': 'will not attack alone', 'SOURCE': 'France', 'TARGET': 'Syria'}]"
6,((angrily/M/en scolds/Pd.sox.|f--3s-/en) venezuela/Cp.s/en colombia/Cp.s/en (for/T/en (having/P.r.|pg----/en (meet/P.sx.-i-----/en president/Cc.s/en (with/T/en (+/B.am/. (+/B.am/. opposition/Cc.s/en leader/Cc.s/en) capriles/Cp.s/en)))))),Venezuela angrily scolds Colombia for having president meet with opposition leader Capriles,"[{'PRED': [['angrily/M/en'], ['scolds/Pd.sox.|f--3s-/en']], 'SOURCE': ['venezuela/Cp.s/en'], 'TARGET': ['colombia/Cp.s/en'], 'TOPIC': [['having/P.r.|pg----/en'], [['meet/P.sx.-i-----/en'], ['president/Cc.s/en'], [['with/T/en'], [['+/B.am/.'], [['+/B.am/.'], ['opposition/Cc.s/en'], ['leader/Cc.s/en']], ['capriles/Cp.s/en']]]]]}]","[{'PRED': 'angrily scolds', 'SOURCE': 'Venezuela', 'TARGET': 'Colombia', 'TOPIC': 'having president meet with opposition leader Capriles'}]"
7,((ca/Mm/en (n't/Mn/en catch/P.so.-i-----/en)) you/Ci/en me/Ci/en),You can't catch me,"[{'PRED': [['ca/Mm/en'], [[""n't/Mn/en""], ['catch/P.so.-i-----/en']]], 'SOURCE': ['you/Ci/en'], 'TARGET': ['me/Ci/en']}]","[{'PRED': ""can't catch"", 'SOURCE': 'you', 'TARGET': 'me'}]"
8,((ca/Mm/en (n't/Mn/en leave/Pd.rso.-i-----/en)) ((will/Mm/en (be/Mv.-i-----/en placed/P.ppx.<pf----/en)) (and/Mj/en (on/Br.ma/en (+/B.am/. post/Cm/en (blasphemous/Ma/en content/Cc.s/en)) (social/Ma/en media/Cc.p/en))) you/Ci/en (on/T/en (the/Md/en (+/B.am/. (+/B.am/. exit/Cp.s/en control/Cp.s/en) list/Cp.s/en)))) you/Ci/en country/Cc.s/en),Post blasphemous content on social media and you will be placed on the Exit Control List (you can't leave country,"[{'PRED': [['ca/Mm/en'], [[""n't/Mn/en""], ['leave/Pd.rso.-i-----/en']]], 'SOURCE': ['you/Ci/en'], 'TARGET': ['country/Cc.s/en']}]","[{'PRED': ""can't leave"", 'SOURCE': 'you', 'TARGET': 'country'}]"
9,((ca/Mm/en (n't/Mn/en say/Pd.?so.-i-----/en)) (to/Br.ma/en (malaysian/Ma/en court/Cc.s/en) christians/Cp.p/en) you/Ci/en allah/Cp.s/en),Malaysian court to Christians: You can't say 'Allah,"[{'PRED': [['ca/Mm/en'], [[""n't/Mn/en""], ['say/Pd.?so.-i-----/en']]], 'SOURCE': ['you/Ci/en'], 'TARGET': ['allah/Cp.s/en']}]","[{'PRED': ""can't say"", 'SOURCE': 'you', 'TARGET': 'Allah'}]"
