,edge,edge_text
0,((has/Mv.|f--3s-/en accused/Pd.sox.<pf----/en) india/Cp.s/en pakistan/Cp.s/en (of/T/en (and/J/en (killing/P.ox.|pg----/en (of/Br.ma/en two/C#/en (its/Mp/en soldiers/Cc.p/en)) (in/T/en (a/Md/en (ghastly/Ma/en attack/Cc.s/en)))) (mutilating/Pd.o.|pg----/en (of/Br.ma/en one/C#/en (along/Br.ma/en (the/Md/en bodies/Cc.p/en) (between/Br.ma/en (the/Md/en (tense/Ma/en (disputed/Mv.<pf----/en border/Cc.s/en))) (the/Md/en ((nuclear/Ma/en armed/Ma/en) neighbours/Cc.p/en))))))))),"INDIA has accused Pakistan of killing two of its soldiers in a ghastly"" attack and mutilating one of the bodies along the tense disputed border between the nuclear-armed neighbours"
1,"((has/Mv.|f--3s-/en accused/Pd.sox.<pf----/en) russia/Cp.s/en poland/Cp.s/en (of/T/en (engaging/P.xx.|pg----/en (in/T/en (of/Br.ma/en (a/Md/en mockery/Cc.s/en) history/Cc.s/en)) (,/J/en (after/T/en (credited/Pd.sox.<f-----/en (the/Md/en (polish/Ma/en (foreign/Ma/en minister/Cc.s/en))) (ukrainian/Ma/en soldiers/Cc.p/en) ((rather/M/en than/T/en) (the/Md/en (+/B.am/. soviet/Cp.s/en (+/B.am/. red/Cp.s/en army/Cp.s/en)))))) (with/T/en (liberating/P.o.|pg----/en auschwitz/Cp.s/en))))))","Russia has accused Poland of engaging in a mockery of history"" after the Polish foreign minister credited Ukrainian soldiers, rather than the Soviet Red Army, with liberating Auschwitz"
2,((has/Mv.|f--3s-/en accused/Pd.sox.<pf----/en) ukraine/Cp.s/en russia/Cp.s/en (of/T/en (launching/P.o.|pg----/en (across/Br.ma/en (a/Md/en (new/Ma/en (military/Ma/en incursion/Cc.s/en))) (its/Mp/en (eastern/Ma/en border/Cc.s/en)))))),Ukraine has accused Russia of launching a new military incursion across its eastern border
3,((has/Mv.|f--3s-/en accused/Pd.soxx.<pf----/en) china/Cp.s/en japan/Cp.s/en (of/T/en (trying/P.r.|pg----/en ((to/Mi/en smear/P.o.-i-----/en) ('s/Bp.am/en beijing/Cp.s/en image/Cc.s/en)))) (after/T/en (alleged/Pd.sr.<f-----/en tokyo/Cp.s/en (locked/P.soxx.<f-----/en (a/Md/en (chinese/Ma/en warship/Cc.s/en)) (its/Mp/en (+/B.am/. (targeting/Mv.|pg----/en weapons/Cc.p/en) radar/Cc.s/en)) (on/T/en (a/Md/en (japanese/Ma/en vessel/Cc.s/en))) (near/T/en (disputed/Mv.<pf----/en islands/Cc.p/en)))))),"China has accused Japan of trying to ""smear"" Beijing's image, after Tokyo alleged a Chinese warship locked its weapons-targeting radar on a Japanese vessel near disputed islands"
4,(accuse/P.sox.|f-----/en germans/Cp.p/en austria/Cp.s/en (of/T/en (driving/P.oxx.|pg----/en migrants/Cc.p/en (to/T/en border/Cc.s/en) (after/T/en dark/Cc.s/en)))),Germans accuse Austria of driving migrants to border after dark
5,(accused/Pd.rsoxx.<f-----/en (says/P.sr.|f--3s-/en britain/Cp.s/en (((highly/M/en likely/M/en) (down/Ml/en shot/P.sa.<f-----/en)) mh17/Cp.s/en (by/T/en ((russian/Ma/en supplied/Mv.<pf----/en) missile/Cc.s/en)))) britain/Cp.s/en russia/Cp.s/en (on/Tt/en saturday/Cp.s/en) (of/T/en (making/P.o.|pg----/en (false/Ma/en (+/B.mm/. claims/Cc.p/en (about/Jr.ma/en mh17/Cp.s/en (crashed/P.sx.<f-----/en that/C/en (in/T/en (eastern/Ma/en ukraine/Cp.s/en))))))))),Britain says highly likely MH17 shot down by Russian-supplied missile: Britain accused Russia on Saturday of making false claims about MH17 that crashed in eastern Ukraine
6,(accused/Pd.sox.<f-----/en australia/Cp.s/en japan/Cp.s/en (of/Tt/en ((out/Ml/en carrying/P.ox.|pg----/en) (commercial/Ma/en whaling/Cc.s/en) (under/Tt/en (on/Br.ma/en (of/Br.ma/en (the/Md/en guise/Cc.s/en) (scientific/Ma/en research/Cc.s/en)) (of/Br.ma/en (the/Md/en (1st/Ma/en day/Cc.s/en)) (+/B.mm/. (+/B.am/. court/Cc.s/en hearings/Cc.p/en) (between/Jr.ma/en (the/Md/en (2/M#/en nations/Cc.p/en)) ((could/Mm/en lead/P.sx.-i-----/en) that/C/en (to/T/en (to/Jr.ma/en (an/Md/en end/Cc.s/en) (whaling/P.x.|pg----/en (in/T/en (the/Md/en antarctic/Cp.s/en)))))))))))))),Australia accused Japan of carrying out commercial whaling under the guise of scientific research on the 1st day of court hearings between the 2 nations that could lead to an end to whaling in the Antarctic
7,(accused/Pd.sox.<f-----/en australia/Cp.s/en japan/Cp.s/en (of/Tt/en ((out/Ml/en carrying/P.oxx.|pg----/en) (commercial/Ma/en whaling/Cc.s/en) (under/T/en (of/Br.ma/en (the/Md/en guise/Cc.s/en) (scientific/Ma/en research/Cc.s/en))) (on/Tt/en (of/Br.ma/en (the/Md/en (first/Ma/en day/Cc.s/en)) (between/Br.ma/en (+/B.am/. court/Cc.s/en hearings/Cc.p/en) (the/Md/en (two/M#/en nations/Cc.p/en)))))))),Australia accused Japan of carrying out commercial whaling under the guise of scientific research on the first day of court hearings between the two nations
8,(accused/Pd.sox.<f-----/en syria/Cp.s/en israel/Cp.s/en (of/Tt/en (attacking/P.xxx.|pg----/en (near/T/en damascus/Cp.s/en) (for/T/en (the/Md/en (second/Ma/en time/Cc.s/en))) (in/Tt/en (a/Md/en week/Cc.s/en))))),Syria accused Israel of attacking near Damascus for the second time in a week
9,(accused/Pd.sox.<f-----/en taiwan/Cp.s/en china/Cp.s/en (of/T/en (using/P.or.|pg----/en (and/J/en (+/B.am/. sao/Cp.s/en tome/Cp.s/en) ('s/Bp.am/en principe/Cp.s/en (financial/Ma/en woes/Cc.p/en))) ((to/Mi/en push/P.oxx.-i-----/en) (its/Mp/en (+/B.am/. (one/M#/en china/Cm/en) policy/Cc.s/en)) (after/T/en (ended/Pd.so.<f-----/en (the/Md/en (african/Ma/en state/Cc.s/en)) (with/Br.ma/en ties/Cc.p/en (the/Md/en ((self/M/en ruled/Mv.<pf----/en) island/Cc.s/en))))) (with/T/en (saying/P.sr.|pg----/en taipei/Cp.s/en ((would/Mm/en (not/Mn/en help/P.so.-i-----/en)) (the/Md/en move/Cc.s/en) (across/Br.ma/en relations/Cc.p/en (the/Md/en (+/B.am/. taiwan/Cp.s/en strait/Cp.s/en)))))))))),"Taiwan accused China of using Sao Tome and Principe's financial woes to push its ""one China policy after the African state ended ties with the self-ruled island, with Taipei saying the move would not help relations across the Taiwan Strait"
